Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6880.7773  -6880.4312   -6903.7871      23.3558  2823.3
0.0200       -6880.7808  -6879.6567   -6904.8496      25.1930  3045.3
0.0300       -6880.7681  -6879.0288   -6903.6079      24.5793  2971.2
0.0400       -6880.7651  -6878.5107   -6903.8911      25.3804  3068.0
0.0500       -6880.7446  -6878.2510   -6903.8447      25.5937  3093.8
0.0600       -6880.7329  -6878.3569   -6903.0239      24.6668  2981.7
0.0700       -6880.7461  -6878.4238   -6899.4561      21.0320  2542.4
0.0800       -6880.7998  -6877.7378   -6901.1689      23.4313  2832.4
0.0900       -6880.7896  -6876.5991   -6902.8745      26.2754  3176.2
0.1000       -6880.7466  -6876.0098   -6904.2529      28.2433  3414.1
0.1100       -6880.6914  -6876.6738   -6903.6396      26.9658  3259.6
0.1200       -6880.6733  -6878.0195   -6902.1631      24.1436  2918.5
0.1300       -6880.6836  -6879.3110   -6903.0923      23.7812  2874.7
0.1400       -6880.7056  -6880.2793   -6902.0825      21.8033  2635.6
0.1500       -6880.7461  -6880.5308   -6902.4937      21.9627  2654.9
0.1600       -6880.7773  -6880.0918   -6902.9263      22.8344  2760.2
0.1700       -6880.7930  -6879.1787   -6904.4414      25.2628  3053.8
0.1800       -6880.7583  -6878.4419   -6906.1401      27.6980  3348.1
0.1900       -6880.7080  -6878.7261   -6905.6982      26.9724  3260.4
0.2000       -6880.6865  -6879.7925   -6904.2681      24.4756  2958.6
0.2100       -6880.6978  -6880.8345   -6904.2969      23.4625  2836.2
0.2200       -6880.7148  -6881.5771   -6904.6172      23.0401  2785.1
0.2300       -6880.7417  -6881.9204   -6905.1787      23.2585  2811.5
0.2400       -6880.7568  -6881.9092   -6905.5791      23.6697  2861.2
0.2500       -6880.7690  -6881.6348   -6904.8911      23.2566  2811.3
0.2600       -6880.7788  -6881.0664   -6906.2354      25.1688  3042.4
0.2700       -6880.7544  -6880.6689   -6906.9766      26.3078  3180.1
0.2800       -6880.7354  -6880.7915   -6904.9707      24.1794  2922.8
0.2900       -6880.7510  -6880.8774   -6904.1758      23.2982  2816.3
0.3000       -6880.7666  -6880.6533   -6904.3984      23.7449  2870.3
0.3100       -6880.7715  -6880.2148   -6904.5527      24.3378  2942.0
0.3200       -6880.7729  -6879.6968   -6903.4292      23.7325  2868.8
0.3300       -6880.7739  -6879.0181   -6903.7812      24.7632  2993.4
0.3400       -6880.7632  -6878.4146   -6903.9160      25.5014  3082.6
0.3500       -6880.7563  -6878.0757   -6901.6104      23.5349  2844.9
0.3600       -6880.7744  -6877.5415   -6900.9136      23.3722  2825.2
0.3700       -6880.7744  -6876.7266   -6902.7441      26.0175  3145.0
0.3800       -6880.7383  -6876.3545   -6903.8257      27.4711  3320.7
0.3900       -6880.6973  -6876.9062   -6902.6250      25.7189  3108.9
0.4000       -6880.6934  -6877.8672   -6902.2905      24.4236  2952.3
0.4100       -6880.7017  -6878.8364   -6902.6860      23.8495  2882.9
0.4200       -6880.7188  -6879.5518   -6902.3701      22.8183  2758.3
0.4300       -6880.7378  -6879.8560   -6903.8545      23.9984  2900.9
0.4400       -6880.7378  -6880.0259   -6904.6157      24.5901  2972.5
0.4500       -6880.7427  -6880.1904   -6903.5850      23.3944  2827.9
0.4600       -6880.7681  -6880.0234   -6901.9331      21.9097  2648.5
0.4700       -6880.8042  -6879.2144   -6902.5640      23.3495  2822.5
0.4800       -6880.8071  -6877.9888   -6902.4014      24.4124  2951.0
0.4900       -6880.8115  -6876.6968   -6899.7627      23.0659  2788.2
0.5000       -6880.8169  -6875.0889   -6900.8086      25.7198  3109.0
0.5100       -6880.7676  -6873.7617   -6903.5566      29.7951  3601.6
0.5200       -6880.6860  -6874.1245   -6901.7021      27.5777  3333.6
0.5300       -6880.6606  -6875.5688   -6900.8936      25.3247  3061.3
0.5400       -6880.6558  -6877.2793   -6902.0239      24.7445  2991.1
0.5500       -6880.6587  -6879.0166   -6902.7300      23.7136  2866.5
0.5600       -6880.6826  -6880.4414   -6902.3042      21.8629  2642.8
0.5700       -6880.7310  -6881.0474   -6901.7559      20.7084  2503.2
0.5800       -6880.7744  -6880.7231   -6903.4028      22.6798  2741.5
0.5900       -6880.7954  -6879.8076   -6902.4395      22.6320  2735.8
