Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6883.5814  -6883.1463   -6905.1049      21.9586  2654.4
0.0200       -6883.6041  -6881.9365   -6906.0013      24.0647  2909.0
0.0300       -6883.5981  -6880.4903   -6905.5304      25.0401  3026.9
0.0400       -6883.5828  -6879.2199   -6905.4912      26.2713  3175.7
0.0500       -6883.5570  -6878.4481   -6903.2713      24.8232  3000.6
0.0600       -6883.5574  -6877.8959   -6902.6210      24.7251  2988.8
0.0700       -6883.5428  -6877.4858   -6903.7102      26.2244  3170.0
0.0800       -6883.5242  -6877.4923   -6901.3367      23.8444  2882.3
0.0900       -6883.5264  -6877.5202   -6904.0040      26.4838  3201.4
0.1000       -6883.4884  -6878.1086   -6903.6278      25.5193  3084.8
0.1100       -6883.4942  -6878.9398   -6902.2986      23.3588  2823.6
0.1200       -6883.5040  -6879.5611   -6904.2000      24.6389  2978.4
0.1300       -6883.5077  -6880.1438   -6903.0769      22.9331  2772.2
0.1400       -6883.5394  -6880.3009   -6902.9347      22.6339  2736.0
0.1500       -6883.5494  -6880.0075   -6905.6385      25.6310  3098.3
0.1600       -6883.5222  -6879.9851   -6905.5773      25.5923  3093.6
0.1700       -6883.5233  -6880.2454   -6902.8908      22.6454  2737.4
0.1800       -6883.5526  -6880.0861   -6903.8739      23.7878  2875.5
0.1900       -6883.5465  -6879.7228   -6905.1828      25.4600  3077.6
0.2000       -6883.5417  -6879.5535   -6902.7408      23.1873  2802.9
0.2100       -6883.5625  -6879.1290   -6903.1673      24.0383  2905.8
0.2200       -6883.5628  -6878.5354   -6902.6426      24.1071  2914.1
0.2300       -6883.5757  -6877.8274   -6901.1581      23.3307  2820.2
0.2400       -6883.5751  -6876.8577   -6902.8955      26.0378  3147.5
0.2500       -6883.5430  -6876.2830   -6902.8549      26.5719  3212.0
0.2600       -6883.5172  -6876.3937   -6901.7297      25.3359  3062.6
0.2700       -6883.5265  -6876.6609   -6898.1880      21.5271  2602.2
0.2800       -6883.5694  -6876.2715   -6899.7380      23.4665  2836.6
0.2900       -6883.5652  -6875.5060   -6900.7506      25.2446  3051.6
0.3000       -6883.5539  -6874.9594   -6900.2032      25.2438  3051.5
0.3100       -6883.5421  -6874.6263   -6899.7804      25.1541  3040.6
0.3200       -6883.5071  -6874.6719   -6903.1978      28.5259  3448.2
0.3300       -6883.4412  -6876.0494   -6903.9465      27.8971  3372.2
0.3400       -6883.4071  -6878.4505   -6903.3186      24.8681  3006.1
0.3500       -6883.4226  -6880.7555   -6903.2585      22.5029  2720.2
0.3600       -6883.4617  -6882.4063   -6904.3354      21.9291  2650.8
0.3700       -6883.5029  -6883.3391   -6904.9391      21.6000  2611.0
0.3800       -6883.5530  -6883.4556   -6904.4516      20.9960  2538.0
0.3900       -6883.6062  -6882.6542   -6903.6894      21.0353  2542.8
0.4000       -6883.6581  -6880.9304   -6902.2477      21.3173  2576.8
0.4100       -6883.6924  -6878.2732   -6901.4329      23.1597  2799.6
0.4200       -6883.6766  -6874.8947   -6903.3193      28.4246  3436.0
0.4300       -6883.5894  -6872.3718   -6902.6780      30.3062  3663.4
0.4400       -6883.5139  -6871.9446   -6899.5996      27.6551  3343.0
0.4500       -6883.4800  -6872.7152   -6898.5009      25.7857  3117.0
0.4600       -6883.4682  -6873.9165   -6898.9504      25.0339  3026.1
0.4700       -6883.4580  -6875.3370   -6900.5943      25.2573  3053.1
0.4800       -6883.4494  -6876.9717   -6901.1668      24.1950  2924.7
0.4900       -6883.4663  -6878.4071   -6900.9037      22.4966  2719.4
0.5000       -6883.4991  -6879.3057   -6902.1874      22.8817  2766.0
0.5100       -6883.5187  -6879.7274   -6902.8989      23.1714  2801.0
0.5200       -6883.5266  -6879.8494   -6904.8804      25.0310  3025.8
0.5300       -6883.5130  -6880.1140   -6905.3047      25.1907  3045.1
0.5400       -6883.5088  -6880.5540   -6904.3570      23.8030  2877.3
0.5500       -6883.5189  -6880.8787   -6905.3996      24.5209  2964.1
0.5600       -6883.5202  -6881.1771   -6904.7234      23.5464  2846.3
0.5700       -6883.5524  -6881.1530   -6902.1797      21.0267  2541.7
0.5800       -6883.6041  -6880.2920   -6902.4106      22.1186  2673.7
0.5900       -6883.6160  -6878.6821   -6904.1995      25.5175  3084.6
0.6000       -6883.5796  -6877.1997   -6904.5359      27.3362  3304.4
0.6100       -6883.5467  -6876.6151   -6901.9928      25.3778  3067.7
0.6200       -6883.5487  -6876.3313   -6899.7310      23.3997  2828.6
0.6300       -6883.5360  -6875.9660   -6903.9869      28.0209  3387.2
0.6400       -6883.4807  -6876.5852   -6902.7965      26.2113  3168.4
0.6500       -6883.4782  -6877.6927   -6901.0433      23.3507  2822.6
0.6600       -6883.5003  -6878.4745   -6901.7867      23.3122  2818.0
0.6700       -6883.5053  -6879.0178   -6904.3782      25.3605  3065.6
0.6800       -6883.4933  -6879.7565   -6903.6457      23.8892  2887.7
0.6900       -6883.5204  -6880.2581   -6902.0798      21.8217  2637.8
0.7000       -6883.5537  -6880.1045   -6903.6787      23.5743  2849.7
0.7100       -6883.5514  -6879.6585   -6905.0130      25.3545  3064.9
0.7200       -6883.5375  -6879.4238   -6904.0488      24.6250  2976.7
0.7300       -6883.5426  -6879.2793   -6903.5262      24.2469  2931.0
0.7400       -6883.5421  -6879.0677   -6903.4163      24.3486  2943.3
0.7500       -6883.5387  -6878.8764   -6904.1843      25.3079  3059.2
0.7600       -6883.5255  -6878.9029   -6903.8342      24.9313  3013.7
0.7700       -6883.5171  -6879.1256   -6904.3861      25.2604  3053.5
0.7800       -6883.5052  -6879.5790   -6904.3608      24.7818  2995.6
0.7900       -6883.5057  -6880.1223   -6904.1697      24.0474  2906.9
0.8000       -6883.5205  -6880.5435   -6903.4013      22.8577  2763.1
0.8100       -6883.5625  -6880.4516   -6901.3331      20.8814  2524.2
0.8200       -6883.6074  -6879.4588   -6902.2153      22.7565  2750.8
0.8300       -6883.6099  -6877.8556   -6903.6771      25.8215  3121.3
0.8400       -6883.5766  -6876.5070   -6903.0520      26.5449  3208.8
0.8500       -6883.5368  -6875.8966   -6903.5128      27.6162  3338.3
0.8600       -6883.4945  -6876.2966   -6902.1485      25.8519  3125.0
0.8700       -6883.4870  -6877.1668   -6902.3446      25.1778  3043.5
0.8800       -6883.4721  -6878.2836   -6903.2883      25.0048  3022.6
0.8900       -6883.4732  -6879.5010   -6903.1079      23.6070  2853.6
0.9000       -6883.4881  -6880.4923   -6904.6704      24.1781  2922.7
0.9100       -6883.4907  -6881.4008   -6904.9597      23.5588  2847.8
0.9200       -6883.5220  -6881.9281   -6903.2706      21.3424  2579.9
0.9300       -6883.5655  -6881.6774   -6904.3564      22.6790  2741.4
0.9400       -6883.5839  -6880.8675   -6904.6101      23.7426  2870.0
0.9500       -6883.5944  -6879.7866   -6902.9501      23.1636  2800.0
0.9600       -6883.6100  -6878.3841   -6902.8900      24.5059  2962.3
0.9700       -6883.5841  -6876.8979   -6904.4652      27.5674  3332.4
0.9800       -6883.5232  -6876.3764   -6904.6947      28.3182  3423.1
0.9900       -6883.4761  -6877.1335   -6903.6919      26.5584  3210.4
1.0000       -6883.4521  -6878.6203   -6903.4100      24.7897  2996.6
1.0100       -6883.4692  -6880.0102   -6902.4598      22.4496  2713.7
1.0200       -6883.4907  -6880.9244   -6904.9683      24.0439  2906.4
1.0300       -6883.4849  -6881.7893   -6907.3635      25.5742  3091.4
1.0400       -6883.4753  -6882.9333   -6906.7000      23.7667  2872.9
1.0500       -6883.5169  -6883.6720   -6903.2113      19.5393  2361.9
1.0600       -6883.5969  -6883.2273   -6903.9976      20.7703  2510.7
1.0700       -6883.6249  -6881.6945   -6906.1517      24.4572  2956.4
1.0800       -6883.6147  -6879.9321   -6904.7030      24.7710  2994.3
1.0900       -6883.6015  -6878.2971   -6904.6307      26.3336  3183.2
1.1000       -6883.5592  -6877.2040   -6904.8115      27.6075  3337.2
1.1100       -6883.5213  -6877.0890   -6902.3660      25.2770  3055.5
1.1200       -6883.5207  -6877.3231   -6901.9405      24.6174  2975.8
1.1300       -6883.5145  -6877.5993   -6902.1441      24.5448  2967.0
1.1400       -6883.5143  -6877.9366   -6902.2847      24.3480  2943.2
1.1500       -6883.5216  -6878.2065   -6901.7630      23.5565  2847.5
1.1600       -6883.5275  -6878.2974   -6903.3779      25.0805  3031.7
1.1700       -6883.5159  -6878.5395   -6903.2178      24.6783  2983.1
1.1800       -6883.5271  -6878.7759   -6901.1833      22.4073  2708.6
1.1900       -6883.5548  -6878.5308   -6902.5764      24.0456  2906.6
1.2000       -6883.5419  -6878.1422   -6904.1837      26.0415  3147.9
1.2100       -6883.5162  -6878.2117   -6903.9352      25.7236  3109.5
1.2200       -6883.5014  -6878.6807   -6903.4496      24.7688  2994.1
1.2300       -6883.4978  -6879.3186   -6904.5708      25.2522  3052.5
1.2400       -6883.4870  -6880.1592   -6904.5980      24.4389  2954.2
1.2500       -6883.4931  -6881.0095   -6905.2680      24.2585  2932.4
1.2600       -6883.5052  -6881.7247   -6903.9418      22.2170  2685.6
1.2700       -6883.5577  -6881.7707   -6902.5146      20.7439  2507.5
1.2800       -6883.6028  -6880.8753   -6903.5501      22.6749  2740.9
1.2900       -6883.6225  -6879.3664   -6902.6783      23.3119  2817.9
1.3000       -6883.6256  -6877.4755   -6902.8131      25.3376  3062.8
1.3100       -6883.5920  -6875.7334   -6903.5481      27.8148  3362.3
1.3200       -6883.5348  -6875.0282   -6902.7393      27.7110  3349.7
1.3300       -6883.4958  -6875.3909   -6901.0043      25.6134  3096.2
1.3400       -6883.4754  -6876.2989   -6902.9535      26.6546  3222.0
1.3500       -6883.4442  -6877.8746   -6903.3729      25.4983  3082.2
1.3600       -6883.4464  -6879.6182   -6902.6201      23.0019  2780.5
1.3700       -6883.4775  -6880.8985   -6903.5359      22.6373  2736.4
1.3800       -6883.5058  -6881.6554   -6904.1861      22.5306  2723.5
1.3900       -6883.5397  -6881.8302   -6903.6172      21.7870  2633.6
1.4000       -6883.5769  -6881.3236   -6904.5623      23.2387  2809.1
1.4100       -6883.5941  -6880.3526   -6902.7553      22.4027  2708.0
1.4200       -6883.6205  -6878.8761   -6902.8097      23.9336  2893.1
1.4300       -6883.6027  -6877.1059   -6904.3144      27.2084  3289.0
1.4400       -6883.5448  -6876.1138   -6904.5373      28.4235  3435.8
1.4500       -6883.4928  -6876.4282   -6902.9597      26.5316  3207.1
1.4600       -6883.4705  -6877.4894   -6902.9432      25.4538  3076.9
1.4700       -6883.4646  -6878.8082   -6903.1475      24.3394  2942.2
1.4800       -6883.4648  -6880.1549   -6905.1129      24.9580  3016.9
1.4900       -6883.4608  -6881.5958   -6905.2947      23.6989  2864.7
1.5000       -6883.4926  -6882.6868   -6903.7846      21.0978  2550.3
1.5100       -6883.5570  -6882.8301   -6903.0003      20.1702  2438.2
1.5200       -6883.6118  -6881.8899   -6904.1386      22.2487  2689.4
1.5300       -6883.6349  -6880.1928   -6903.2256      23.0327  2784.2
1.5400       -6883.6421  -6878.0221   -6903.5360      25.5139  3084.1
1.5500       -6883.6088  -6875.9689   -6903.1319      27.1630  3283.5
1.5600       -6883.5674  -6874.7446   -6901.0493      26.3047  3179.7
1.5700       -6883.5403  -6874.2280   -6900.6839      26.4559  3198.0
1.5800       -6883.4998  -6874.4538   -6902.3180      27.8642  3368.2
1.5900       -6883.4531  -6875.7284   -6901.4054      25.6770  3103.8
1.6000       -6883.4462  -6877.4153   -6902.8884      25.4731  3079.2
1.6100       -6883.4382  -6879.3870   -6902.9989      23.6119  2854.2
1.6200       -6883.4849  -6880.6971   -6899.7058      19.0087  2297.8
1.6300       -6883.5501  -6880.8620   -6904.3630      23.5010  2840.8
1.6400       -6883.5557  -6880.5549   -6903.4595      22.9046  2768.7
1.6500       -6883.5790  -6879.8786   -6903.6180      23.7394  2869.6
1.6600       -6883.5850  -6878.9257   -6903.0071      24.0814  2911.0
1.6700       -6883.5766  -6877.8912   -6904.2918      26.4005  3191.3
1.6800       -6883.5391  -6877.3882   -6903.7703      26.3821  3189.1
1.6900       -6883.5258  -6877.4735   -6901.6161      24.1426  2918.4
