Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6887.0913  -6887.4238   -6905.6670      18.2430  2205.2
0.0200       -6887.0576  -6888.2852   -6905.9883      17.7034  2140.0
0.0300       -6887.0435  -6889.6060   -6906.8804      17.2745  2088.1
0.0400       -6887.0317  -6891.2422   -6908.0317      16.7895  2029.5
0.0500       -6887.0449  -6892.8594   -6907.5996      14.7402  1781.8
0.0600       -6887.0742  -6893.8706   -6907.1582      13.2878  1606.2
0.0700       -6887.1270  -6894.1167   -6907.7280      13.6114  1645.4
0.0800       -6887.1646  -6893.6567   -6908.3477      14.6909  1775.8
0.0900       -6887.1797  -6892.6836   -6908.1729      15.4891  1872.3
0.1000       -6887.1777  -6891.4185   -6908.1421      16.7236  2021.6
0.1100       -6887.1646  -6890.2051   -6907.9873      17.7824  2149.5
0.1200       -6887.1494  -6889.4365   -6906.8145      17.3779  2100.6
0.1300       -6887.1274  -6889.0405   -6906.3223      17.2819  2089.0
0.1400       -6887.1055  -6889.0420   -6907.7402      18.6981  2260.2
0.1500       -6887.0723  -6889.9014   -6908.7700      18.8688  2280.9
0.1600       -6887.0376  -6891.4492   -6907.6675      16.2181  1960.5
0.1700       -6887.0464  -6892.8638   -6908.1743      15.3107  1850.8
0.1800       -6887.0654  -6893.9785   -6908.9712      14.9929  1812.3
0.1900       -6887.0933  -6894.6733   -6909.0391      14.3658  1736.5
0.2000       -6887.1201  -6894.8574   -6909.8403      14.9830  1811.2
0.2100       -6887.1450  -6894.6543   -6909.6274      14.9733  1810.0
0.2200       -6887.1714  -6894.0620   -6908.2920      14.2301  1720.1
0.2300       -6887.1890  -6892.9233   -6908.2822      15.3590  1856.6
0.2400       -6887.2041  -6891.4053   -6907.6826      16.2774  1967.6
0.2500       -6887.1890  -6889.8076   -6906.8662      17.0585  2062.0
0.2600       -6887.1685  -6888.3989   -6907.4648      19.0660  2304.7
0.2700       -6887.1113  -6887.8452   -6907.0947      19.2493  2326.9
0.2800       -6887.0713  -6888.3511   -6906.4478      18.0966  2187.5
0.2900       -6887.0498  -6889.3467   -6905.0391      15.6922  1896.9
0.3000       -6887.0781  -6890.1323   -6905.0483      14.9162  1803.1
0.3100       -6887.0913  -6890.5210   -6905.7085      15.1873  1835.9
0.3200       -6887.1143  -6890.6079   -6906.1548      15.5470  1879.3
0.3300       -6887.1289  -6890.4526   -6905.6694      15.2166  1839.4
0.3400       -6887.1519  -6889.9927   -6904.7544      14.7615  1784.4
0.3500       -6887.1694  -6889.1079   -6904.7051      15.5972  1885.4
0.3600       -6887.1689  -6887.9434   -6904.3179      16.3744  1979.3
0.3700       -6887.1636  -6886.7705   -6903.9668      17.1965  2078.7
0.3800       -6887.1411  -6885.8389   -6903.7656      17.9270  2167.0
0.3900       -6887.1089  -6885.4658   -6904.1987      18.7331  2264.5
0.4000       -6887.0815  -6885.8833   -6903.3364      17.4532  2109.8
0.4100       -6887.0688  -6886.6807   -6903.8569      17.1762  2076.3
0.4200       -6887.0498  -6887.9312   -6906.5850      18.6538  2254.9
0.4300       -6887.0181  -6889.8037   -6906.1978      16.3939  1981.7
0.4400       -6887.0391  -6891.5142   -6906.3237      14.8098  1790.2
0.4500       -6887.0654  -6892.7344   -6907.0938      14.3592  1735.7
0.4600       -6887.0918  -6893.3828   -6907.2783      13.8953  1679.7
0.4700       -6887.1367  -6893.3960   -6907.2466      13.8507  1674.3
0.4800       -6887.1699  -6892.7598   -6907.7822      15.0225  1815.9
0.4900       -6887.1758  -6891.6812   -6908.2300      16.5488  2000.4
0.5000       -6887.1597  -6890.5811   -6908.0815      17.5006  2115.5
0.5100       -6887.1309  -6889.8691   -6908.8911      19.0221  2299.4
0.5200       -6887.0776  -6890.0669   -6908.9619      18.8948  2284.0
0.5300       -6887.0610  -6891.0518   -6907.3232      16.2715  1966.9
0.5400       -6887.0645  -6891.9980   -6907.6006      15.6026  1886.1
