Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6882.3446  -6882.1840   -6905.6570      23.4731  2837.4
0.0200       -6882.3563  -6881.6508   -6905.6471      23.9963  2900.7
0.0300       -6882.3582  -6880.9692   -6905.4166      24.4474  2955.2
0.0400       -6882.3645  -6880.2739   -6903.8417      23.5678  2848.9
0.0500       -6882.3842  -6879.3313   -6901.9673      22.6360  2736.3
0.0600       -6882.3854  -6877.9410   -6905.1511      27.2101  3289.2
0.0700       -6882.3171  -6877.2581   -6906.7276      29.4695  3562.3
0.0800       -6882.2433  -6878.3139   -6906.3032      27.9893  3383.4
0.0900       -6882.2105  -6880.4778   -6905.5020      25.0242  3024.9
0.1000       -6882.2283  -6882.5228   -6904.1297      21.6069  2611.9
0.1100       -6882.2861  -6883.6669   -6904.0948      20.4279  2469.3
0.1200       -6882.3499  -6883.7586   -6904.4739      20.7153  2504.1
0.1300       -6882.4035  -6882.8421   -6903.8350      20.9930  2537.6
0.1400       -6882.4424  -6880.9645   -6904.7227      23.7582  2871.9
0.1500       -6882.4256  -6878.5765   -6905.5389      26.9625  3259.2
0.1600       -6882.3812  -6876.8146   -6903.3966      26.5821  3213.3
0.1700       -6882.3392  -6875.9074   -6904.4500      28.5426  3450.2
0.1800       -6882.2766  -6876.2983   -6903.4221      27.1238  3278.7
0.1900       -6882.2485  -6877.6047   -6903.5215      25.9168  3132.8
0.2000       -6882.2321  -6879.3640   -6904.1036      24.7396  2990.5
0.2100       -6882.2462  -6881.0265   -6903.1153      22.0888  2670.1
0.2200       -6882.2940  -6881.9701   -6903.3813      21.4111  2588.2
0.2300       -6882.3392  -6882.0781   -6903.6686      21.5905  2609.9
0.2400       -6882.3731  -6881.4206   -6904.7697      23.3491  2822.4
0.2500       -6882.3749  -6880.3639   -6905.4576      25.0937  3033.3
0.2600       -6882.3599  -6879.4360   -6904.7072      25.2712  3054.8
0.2700       -6882.3519  -6878.7733   -6903.4081      24.6347  2977.9
0.2800       -6882.3505  -6878.2025   -6902.7706      24.5682  2969.8
0.2900       -6882.3433  -6877.7038   -6903.5908      25.8870  3129.2
0.3000       -6882.3206  -6877.5807   -6902.4063      24.8256  3000.9
0.3100       -6882.3274  -6877.5786   -6901.1457      23.5671  2848.8
0.3200       -6882.3233  -6877.4457   -6904.4616      27.0159  3265.7
0.3300       -6882.2688  -6878.1181   -6905.4875      27.3694  3308.4
0.3400       -6882.2532  -6879.5292   -6902.6570      23.1277  2795.7
0.3500       -6882.2892  -6880.4912   -6902.4616      21.9704  2655.8
0.3600       -6882.3151  -6880.8566   -6905.2354      24.3788  2946.9
0.3700       -6882.3108  -6881.1394   -6905.1158      23.9764  2898.3
0.3800       -6882.3402  -6881.2031   -6901.9401      20.7370  2506.7
0.3900       -6882.3967  -6880.3808   -6902.9876      22.6068  2732.7
0.4000       -6882.3891  -6878.8848   -6905.8186      26.9338  3255.8
0.4100       -6882.3482  -6877.9592   -6903.7484      25.7892  3117.4
0.4200       -6882.3360  -6877.5632   -6902.9230      25.3598  3065.5
0.4300       -6882.3166  -6877.4874   -6903.2267      25.7393  3111.4
0.4400       -6882.3059  -6877.7827   -6902.1216      24.3389  2942.1
0.4500       -6882.3251  -6877.9919   -6899.8438      21.8519  2641.5
0.4600       -6882.3738  -6877.5429   -6899.3244      21.7815  2633.0
0.4700       -6882.4041  -6876.3153   -6899.3470      23.0317  2784.1
0.4800       -6882.4006  -6874.5998   -6901.2556      26.6558  3222.2
0.4900       -6882.3499  -6873.4004   -6901.4845      28.0841  3394.8
0.5000       -6882.2823  -6873.5081   -6903.1249      29.6168  3580.1
0.5100       -6882.1976  -6875.5210   -6904.6643      29.1433  3522.9
0.5200       -6882.1515  -6878.9058   -6903.8488      24.9430  3015.1
0.5300       -6882.1800  -6881.8500   -6902.4635      20.6136  2491.8
0.5400       -6882.2472  -6883.6429   -6904.5444      20.9015  2526.6
0.5500       -6882.2967  -6884.5329   -6905.9016      21.3687  2583.1
0.5600       -6882.3492  -6884.5493   -6905.2622      20.7129  2503.8
0.5700       -6882.3996  -6883.5970   -6905.7658      22.1688  2679.8
0.5800       -6882.4184  -6881.8970   -6906.2868      24.3898  2948.3
0.5900       -6882.4190  -6880.0336   -6903.6842      23.6505  2858.9
0.6000       -6882.4312  -6878.0195   -6902.2210      24.2015  2925.5
0.6100       -6882.4123  -6875.8274   -6903.0675      27.2401  3292.8
0.6200       -6882.3477  -6874.4053   -6903.8648      29.4595  3561.1
0.6300       -6882.2689  -6874.7390   -6903.5938      28.8547  3488.0
0.6400       -6882.2209  -6876.5346   -6902.0143      25.4797  3080.0
0.6500       -6882.2341  -6878.3977   -6900.4968      22.0991  2671.3
0.6600       -6882.2713  -6879.6597   -6903.0556      23.3959  2828.1
0.6700       -6882.2878  -6880.5385   -6902.6650      22.1264  2674.7
