Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6889.3188  -6889.1650   -6904.6470      15.4820  1871.5
0.0200       -6889.3203  -6888.7192   -6906.2275      17.5084  2116.4
0.0300       -6889.2817  -6888.5874   -6906.2090      17.6216  2130.1
0.0400       -6889.2637  -6888.8364   -6904.5986      15.7624  1905.4
0.0500       -6889.3032  -6888.9609   -6903.8315      14.8704  1797.5
0.0600       -6889.3154  -6888.7339   -6905.7690      17.0354  2059.2
0.0700       -6889.2847  -6888.7021   -6907.1895      18.4873  2234.8
0.0800       -6889.2339  -6889.3286   -6906.2666      16.9380  2047.5
0.0900       -6889.2524  -6890.1025   -6905.2178      15.1152  1827.1
0.1000       -6889.2788  -6890.5547   -6906.0278      15.4733  1870.4
0.1100       -6889.2627  -6890.7603   -6906.8115      16.0514  1940.3
0.1200       -6889.2788  -6890.8672   -6905.8857      15.0185  1815.4
0.1300       -6889.3228  -6890.6460   -6905.2026      14.5568  1759.6
0.1400       -6889.3442  -6889.9219   -6904.8140      14.8919  1800.1
0.1500       -6889.3315  -6888.7437   -6905.7378      16.9943  2054.3
0.1600       -6889.3213  -6887.6704   -6905.2583      17.5880  2126.0
0.1700       -6889.2930  -6886.9736   -6904.0879      17.1145  2068.8
0.1800       -6889.2793  -6886.6646   -6905.6914      19.0270  2300.0
0.1900       -6889.2397  -6887.2593   -6906.1338      18.8744  2281.5
0.2000       -6889.2021  -6888.6436   -6905.7847      17.1411  2072.0
0.2100       -6889.1997  -6890.2603   -6906.5093      16.2490  1964.2
0.2200       -6889.1997  -6891.7056   -6906.3950      14.6896  1775.7
0.2300       -6889.2686  -6892.6714   -6906.5723      13.9008  1680.3
0.2400       -6889.2881  -6892.9028   -6906.3013      13.3984  1619.6
0.2500       -6889.3330  -6892.4395   -6907.3232      14.8837  1799.1
0.2600       -6889.3677  -6891.5068   -6907.7637      16.2567  1965.1
0.2700       -6889.3311  -6890.4395   -6907.7407      17.3012  2091.4
0.2800       -6889.3027  -6889.6650   -6907.2412      17.5764  2124.6
0.2900       -6889.3145  -6889.2949   -6904.7109      15.4162  1863.5
0.3000       -6889.3159  -6888.7358   -6904.3794      15.6436  1891.0
0.3100       -6889.3022  -6887.9976   -6906.6309      18.6332  2252.4
0.3200       -6889.2793  -6887.9717   -6907.0542      19.0825  2306.7
0.3300       -6889.2329  -6888.8638   -6906.7603      17.8966  2163.3
0.3400       -6889.1982  -6890.2222   -6906.8252      16.6030  2007.0
0.3500       -6889.2144  -6891.5659   -6906.1182      14.5524  1759.1
0.3600       -6889.2422  -6892.2534   -6905.1367      12.8832  1557.3
0.3700       -6889.3169  -6892.1729   -6906.7886      14.6159  1766.8
0.3800       -6889.3369  -6891.5371   -6907.3452      15.8082  1910.9
0.3900       -6889.3496  -6890.7144   -6907.1377      16.4234  1985.3
0.4000       -6889.3018  -6889.8682   -6907.7007      17.8326  2155.6
0.4100       -6889.2808  -6889.5156   -6907.5547      18.0391  2180.6
0.4200       -6889.2754  -6889.7368   -6906.9146      17.1776  2076.4
0.4300       -6889.2524  -6890.2700   -6907.4795      17.2097  2080.3
0.4400       -6889.2314  -6891.0410   -6907.2461      16.2052  1958.9
0.4500       -6889.2578  -6891.7993   -6907.5386      15.7391  1902.5
0.4600       -6889.2695  -6892.3613   -6907.6289      15.2674  1845.5
0.4700       -6889.2837  -6892.5850   -6907.1475      14.5623  1760.3
0.4800       -6889.3120  -6892.3740   -6908.0059      15.6318  1889.6
0.4900       -6889.3350  -6891.9565   -6908.7148      16.7581  2025.7
0.5000       -6889.3223  -6891.6128   -6908.1655      16.5526  2000.9
0.5100       -6889.2993  -6891.3149   -6906.5146      15.1995  1837.3
