Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6885.4224  -6886.1035   -6905.3374      19.2341  2325.0
0.0200       -6885.3955  -6887.6094   -6905.0796      17.4704  2111.8
0.0300       -6885.3843  -6889.3057   -6904.6196      15.3141  1851.2
0.0400       -6885.4116  -6890.5718   -6904.6855      14.1139  1706.1
0.0500       -6885.4473  -6891.2446   -6905.4082      14.1635  1712.1
0.0600       -6885.4922  -6891.3418   -6905.8364      14.4947  1752.1
0.0700       -6885.5059  -6890.9336   -6906.8535      15.9200  1924.4
0.0800       -6885.4985  -6890.3389   -6906.2671      15.9281  1925.4
0.0900       -6885.5190  -6889.6577   -6904.8545      15.1969  1837.0
0.1000       -6885.5342  -6888.6831   -6903.9482      15.2651  1845.3
0.1100       -6885.5430  -6887.3882   -6904.4858      17.0979  2066.8
0.1200       -6885.5181  -6886.2095   -6904.8594      18.6499  2254.4
0.1300       -6885.4736  -6885.7861   -6904.8193      19.0332  2300.7
0.1400       -6885.4277  -6886.3906   -6905.7017      19.3112  2334.4
0.1500       -6885.3774  -6888.0439   -6906.5376      18.4939  2235.5
0.1600       -6885.3672  -6890.3154   -6906.6289      16.3135  1972.0
0.1700       -6885.3882  -6892.1650   -6905.1909      13.0260  1574.6
0.1800       -6885.4502  -6893.0146   -6905.2139      12.1991  1474.6
0.1900       -6885.5103  -6892.9214   -6906.6265      13.7050  1656.7
0.2000       -6885.5264  -6892.0742   -6907.1309      15.0567  1820.1
0.2100       -6885.5479  -6890.8154   -6905.9355      15.1202  1827.7
0.2200       -6885.5518  -6889.1792   -6906.3838      17.2044  2079.7
0.2300       -6885.5464  -6887.6484   -6905.5498      17.9013  2163.9
0.2400       -6885.5010  -6886.6318   -6905.4136      18.7819  2270.4
0.2500       -6885.4487  -6886.4956   -6906.2334      19.7380  2385.9
0.2600       -6885.3945  -6887.6284   -6907.0078      19.3792  2342.6
0.2700       -6885.3667  -6889.7573   -6907.1709      17.4135  2105.0
0.2800       -6885.3667  -6891.9199   -6906.5801      14.6603  1772.1
0.2900       -6885.4150  -6893.3979   -6906.6128      13.2151  1597.4
0.3000       -6885.4561  -6894.0156   -6906.8389      12.8233  1550.1
0.3100       -6885.5078  -6893.7998   -6907.6396      13.8399  1673.0
0.3200       -6885.5376  -6892.8755   -6907.3438      14.4683  1748.9
0.3300       -6885.5654  -6891.4453   -6904.7344      13.2893  1606.4
0.3400       -6885.6201  -6889.2944   -6904.6699      15.3752  1858.6
0.3500       -6885.5938  -6886.3496   -6905.2222      18.8726  2281.3
0.3600       -6885.5464  -6883.9263   -6906.1802      22.2537  2690.0
0.3700       -6885.4180  -6883.6919   -6906.4404      22.7484  2749.8
0.3800       -6885.3506  -6885.8901   -6904.6279      18.7378  2265.0
0.3900       -6885.3345  -6888.6436   -6905.1177      16.4742  1991.4
0.4000       -6885.3477  -6891.2236   -6906.3267      15.1032  1825.7
0.4100       -6885.3750  -6893.2871   -6907.5039      14.2169  1718.5
0.4200       -6885.4087  -6894.6626   -6907.7920      13.1292  1587.1
0.4300       -6885.4717  -6895.1826   -6907.6123      12.4295  1502.5
0.4400       -6885.5151  -6894.7534   -6907.6030      12.8498  1553.3
0.4500       -6885.5728  -6893.4414   -6907.6274      14.1860  1714.8
0.4600       -6885.6006  -6891.3984   -6906.6211      15.2227  1840.1
0.4700       -6885.6089  -6888.8906   -6905.3384      16.4478  1988.2
0.4800       -6885.5791  -6886.1714   -6905.6196      19.4484  2350.9
0.4900       -6885.5137  -6884.2710   -6906.4863      22.2152  2685.4
0.5000       -6885.4194  -6884.5347   -6904.6152      20.0807  2427.4
0.5100       -6885.3770  -6886.2236   -6904.7354      18.5117  2237.7
0.5200       -6885.3452  -6888.6274   -6906.1230      17.4955  2114.9
0.5300       -6885.3457  -6891.1685   -6906.4595      15.2912  1848.4
0.5400       -6885.3794  -6893.0674   -6906.4121      13.3448  1613.1
0.5500       -6885.4233  -6894.2339   -6908.8325      14.5986  1764.7
0.5600       -6885.4521  -6894.9536   -6909.4512      14.4976  1752.5
0.5700       -6885.4854  -6895.1240   -6908.6084      13.4844  1630.0
0.5800       -6885.5381  -6894.5996   -6908.7061      14.1066  1705.2
0.5900       -6885.5640  -6893.4126   -6908.8101      15.3975  1861.3
0.6000       -6885.5547  -6891.8423   -6907.8706      16.0285  1937.5
0.6100       -6885.5527  -6890.1392   -6908.1318      17.9927  2175.0
0.6200       -6885.5117  -6888.8394   -6908.2222      19.3829  2343.0
0.6300       -6885.4561  -6888.6157   -6908.3311      19.7152  2383.2
0.6400       -6885.4023  -6889.6265   -6908.3442      18.7177  2262.6
0.6500       -6885.3862  -6891.3726   -6908.1709      16.7981  2030.6
0.6600       -6885.3857  -6893.0850   -6907.9863      14.9013  1801.3
0.6700       -6885.4233  -6894.2778   -6908.3208      14.0432  1697.5
0.6800       -6885.4546  -6894.8828   -6909.4741      14.5912  1763.8
0.6900       -6885.4800  -6894.9937   -6909.3242      14.3305  1732.3
0.7000       -6885.5161  -6894.5728   -6908.7095      14.1366  1708.8
0.7100       -6885.5420  -6893.5581   -6908.6909      15.1328  1829.3
0.7200       -6885.5464  -6892.1069   -6909.4307      17.3237  2094.1
0.7300       -6885.5034  -6890.8018   -6909.2437      18.4419  2229.3
0.7400       -6885.4873  -6890.2427   -6908.9014      18.6584  2255.4
0.7500       -6885.4434  -6890.4351   -6907.8657      17.4306  2107.0
0.7600       -6885.4302  -6891.0586   -6908.2554      17.1969  2078.8
0.7700       -6885.4106  -6891.9639   -6908.7339      16.7701  2027.2
0.7800       -6885.4248  -6892.9429   -6908.2178      15.2747  1846.4
0.7900       -6885.4375  -6893.5742   -6908.3774      14.8033  1789.4
0.8000       -6885.4634  -6893.8364   -6909.6836      15.8470  1915.6
0.8100       -6885.4736  -6893.9463   -6909.7451      15.7990  1909.8
0.8200       -6885.4834  -6893.8320   -6907.5830      13.7510  1662.2
0.8300       -6885.5161  -6893.1226   -6907.9043      14.7819  1786.8
0.8400       -6885.5327  -6891.8926   -6909.1494      17.2570  2086.0
0.8500       -6885.5093  -6890.7925   -6907.9912      17.1987  2079.0
0.8600       -6885.5029  -6890.0024   -6905.7812      15.7789  1907.4
0.8700       -6885.5103  -6889.1558   -6906.0786      16.9229  2045.6
0.8800       -6885.4824  -6888.4507   -6907.2720      18.8215  2275.2
0.8900       -6885.4390  -6888.5991   -6907.8545      19.2552  2327.6
0.9000       -6885.4058  -6889.6777   -6906.7593      17.0816  2064.8
0.9100       -6885.4058  -6890.9824   -6907.5728      16.5903  2005.4
0.9200       -6885.4009  -6892.4141   -6908.9448      16.5310  1998.3
0.9300       -6885.4048  -6893.7690   -6908.5015      14.7326  1780.9
0.9400       -6885.4458  -6894.5747   -6907.8433      13.2684  1603.9
0.9500       -6885.4902  -6894.6055   -6908.5640      13.9587  1687.3
0.9600       -6885.5049  -6893.9849   -6909.5576      15.5729  1882.5
0.9700       -6885.5200  -6893.0952   -6909.5698      16.4748  1991.5
0.9800       -6885.5078  -6892.1953   -6908.8354      16.6403  2011.5
0.9900       -6885.5156  -6891.4478   -6909.1416      17.6940  2138.9
1.0000       -6885.4678  -6891.0728   -6908.6826      17.6097  2128.7
1.0100       -6885.4688  -6891.1021   -6906.4712      15.3691  1857.8
1.0200       -6885.4902  -6890.9365   -6906.7827      15.8462  1915.5
1.0300       -6885.4795  -6890.6406   -6908.1108      17.4702  2111.8
1.0400       -6885.4590  -6890.6348   -6907.0464      16.4114  1983.8
1.0500       -6885.4712  -6890.7075   -6906.6787      15.9711  1930.6
1.0600       -6885.4707  -6890.6694   -6906.5332      15.8638  1917.6
1.0700       -6885.4922  -6890.5430   -6906.7886      16.2454  1963.8
1.0800       -6885.4863  -6890.3579   -6906.3525      15.9945  1933.4
1.0900       -6885.4795  -6890.0723   -6905.7095      15.6370  1890.2
1.1000       -6885.4893  -6889.6602   -6906.7197      17.0596  2062.2
1.1100       -6885.4766  -6889.3896   -6905.6128      16.2232  1961.1
1.1200       -6885.4873  -6889.1460   -6905.0557      15.9097  1923.2
1.1300       -6885.4810  -6888.8032   -6905.7290      16.9257  2046.0
1.1400       -6885.4692  -6888.6504   -6906.2271      17.5769  2124.7
1.1500       -6885.4482  -6888.9609   -6907.4541      18.4933  2235.5
1.1600       -6885.4111  -6889.9644   -6907.3872      17.4226  2106.1
1.1700       -6885.4175  -6891.2261   -6906.8540      15.6282  1889.1
1.1800       -6885.4268  -6892.2173   -6907.1362      14.9192  1803.4
1.1900       -6885.4536  -6892.8291   -6907.8179      14.9890  1811.9
1.2000       -6885.4717  -6893.0449   -6907.8457      14.8008  1789.1
1.2100       -6885.4897  -6892.8501   -6908.0889      15.2387  1842.1
1.2200       -6885.5190  -6892.3408   -6907.2920      14.9511  1807.3
1.2300       -6885.5371  -6891.4482   -6905.6890      14.2406  1721.4
1.2400       -6885.5566  -6889.9976   -6907.0859      17.0885  2065.7
1.2500       -6885.5181  -6888.5166   -6907.6636      19.1470  2314.5
1.2600       -6885.4722  -6887.9722   -6907.0923      19.1201  2311.3
1.2700       -6885.4341  -6888.3799   -6905.4810      17.1009  2067.2
1.2800       -6885.4419  -6888.9927   -6904.1123      15.1198  1827.7
1.2900       -6885.4551  -6889.3516   -6905.7681      16.4164  1984.4
1.3000       -6885.4512  -6889.7139   -6906.1621      16.4482  1988.3
1.3100       -6885.4497  -6890.0938   -6905.7651      15.6713  1894.4
1.3200       -6885.4624  -6890.2871   -6905.4697      15.1826  1835.3
1.3300       -6885.4844  -6890.1699   -6905.3164      15.1463  1830.9
1.3400       -6885.4971  -6889.7183   -6905.4033      15.6851  1896.0
1.3500       -6885.4951  -6889.0874   -6906.7842      17.6968  2139.2
1.3600       -6885.4741  -6888.8716   -6907.4917      18.6201  2250.8
1.3700       -6885.4385  -6889.3516   -6906.2793      16.9278  2046.2
1.3800       -6885.4312  -6890.0371   -6906.1997      16.1627  1953.8
1.3900       -6885.4287  -6890.6973   -6907.1460      16.4486  1988.3
1.4000       -6885.4312  -6891.5103   -6909.3286      17.8185  2153.9
1.4100       -6885.4077  -6892.7896   -6909.7876      16.9981  2054.7
1.4200       -6885.4229  -6894.0859   -6908.6450      14.5592  1759.9
1.4300       -6885.4390  -6894.9150   -6910.5547      15.6394  1890.5
1.4400       -6885.4326  -6895.5845   -6911.7036      16.1189  1948.5
1.4500       -6885.4570  -6896.1240   -6910.2173      14.0934  1703.6
1.4600       -6885.5034  -6896.0386   -6908.6768      12.6384  1527.7
1.4700       -6885.5537  -6895.0820   -6908.3970      13.3151  1609.5
1.4800       -6885.5820  -6893.2646   -6907.5693      14.3044  1729.1
1.4900       -6885.6035  -6890.7036   -6907.4326      16.7290  2022.2
1.5000       -6885.5845  -6887.8735   -6906.6011      18.7274  2263.8
1.5100       -6885.5381  -6885.6948   -6905.3945      19.6998  2381.3
1.5200       -6885.4624  -6884.7412   -6905.7495      21.0082  2539.5
1.5300       -6885.4131  -6885.5254   -6904.2734      18.7483  2266.3
1.5400       -6885.3862  -6886.9023   -6902.5264      15.6239  1888.6
1.5500       -6885.4019  -6888.2812   -6906.1953      17.9142  2165.5
1.5600       -6885.3599  -6890.2910   -6908.5356      18.2444  2205.4
1.5700       -6885.3594  -6892.6372   -6907.5386      14.9016  1801.3
1.5800       -6885.3916  -6894.2471   -6907.1392      12.8919  1558.4
1.5900       -6885.4512  -6894.8657   -6906.1313      11.2656  1361.8
1.6000       -6885.5439  -6894.3984   -6906.1685      11.7700  1422.8
1.6100       -6885.5820  -6892.7144   -6907.7910      15.0764  1822.4
1.6200       -6885.5776  -6890.2207   -6908.4668      18.2460  2205.6
1.6300       -6885.5361  -6888.0591   -6906.4131      18.3539  2218.6
1.6400       -6885.4941  -6886.6826   -6906.1904      19.5076  2358.1
1.6500       -6885.4395  -6886.3931   -6905.5249      19.1316  2312.6
1.6600       -6885.4146  -6887.1382   -6905.3330      18.1947  2199.4
1.6700       -6885.3867  -6888.6069   -6907.2993      18.6924  2259.5
1.6800       -6885.3477  -6890.8350   -6908.1733      17.3382  2095.9
1.6900       -6885.3530  -6893.0254   -6907.0884      14.0628  1699.9
1.7000       -6885.4131  -6894.3696   -6907.3008      12.9312  1563.1
1.7100       -6885.4561  -6894.8608   -6908.3652      13.5043  1632.4
1.7200       -6885.4863  -6894.6523   -6909.5654      14.9131  1802.7
1.7300       -6885.5049  -6894.0132   -6909.9976      15.9842  1932.2
1.7400       -6885.5059  -6893.2207   -6909.1680      15.9474  1927.7
1.7500       -6885.5239  -6892.3457   -6907.6328      15.2869  1847.9
1.7600       -6885.5308  -6891.1973   -6906.2695      15.0721  1821.9
1.7700       -6885.5376  -6889.6792   -6907.4688      17.7894  2150.4
1.7800       -6885.5171  -6888.4189   -6906.5327      18.1136  2189.6
1.7900       -6885.4761  -6887.8145   -6906.4985      18.6840  2258.5
1.8000       -6885.4316  -6888.0581   -6907.0537      18.9958  2296.2
1.8100       -6885.4023  -6889.2339   -6907.0874      17.8536  2158.2
1.8200       -6885.3872  -6890.7744   -6906.8130      16.0384  1938.7
1.8300       -6885.4043  -6892.1426   -6906.6997      14.5571  1759.7
1.8400       -6885.4438  -6892.8799   -6905.9585      13.0786  1580.9
1.8500       -6885.4849  -6892.8301   -6907.0059      14.1759  1713.6
1.8600       -6885.5103  -6892.1714   -6907.3276      15.1562  1832.1
1.8700       -6885.5288  -6891.1416   -6907.3589      16.2175  1960.4
1.8800       -6885.5234  -6890.0146   -6907.3145      17.2998  2091.2
1.8900       -6885.4995  -6889.1196   -6905.5322      16.4125  1983.9
1.9000       -6885.5093  -6888.3774   -6905.4658      17.0885  2065.7
1.9100       -6885.4878  -6887.8628   -6906.5366      18.6736  2257.3
1.9200       -6885.4419  -6888.1230   -6906.7866      18.6637  2256.1
1.9300       -6885.4033  -6889.1465   -6906.3140      17.1673  2075.2
1.9400       -6885.4146  -6890.3755   -6905.8857      15.5103  1874.9
1.9500       -6885.4131  -6891.2896   -6906.3574      15.0679  1821.4
1.9600       -6885.4414  -6891.8989   -6907.1021      15.2033  1837.8
1.9700       -6885.4600  -6892.1538   -6906.8730      14.7190  1779.2
1.9800       -6885.4888  -6891.9819   -6907.0146      15.0327  1817.2
1.9900       -6885.5107  -6891.4619   -6908.1265      16.6643  2014.4
2.0000       -6885.4878  -6890.9785   -6908.5288      17.5502  2121.5
2.0100       -6885.4609  -6890.8457   -6907.4575      16.6119  2008.1
2.0200       -6885.4619  -6890.9268   -6908.4829      17.5562  2122.2
2.0300       -6885.4502  -6891.3672   -6908.1948      16.8276  2034.1
2.0400       -6885.4497  -6891.8560   -6906.0483      14.1923  1715.6
2.0500       -6885.4863  -6891.8247   -6906.7129      14.8883  1799.7
2.0600       -6885.4868  -6891.3853   -6908.4106      17.0254  2058.0
2.0700       -6885.4697  -6891.0903   -6907.9272      16.8370  2035.3
2.0800       -6885.4688  -6891.0015   -6907.8687      16.8673  2038.9
2.0900       -6885.4624  -6891.1245   -6908.5688      17.4444  2108.7
2.1000       -6885.4321  -6891.5698   -6908.5186      16.9485  2048.7
2.1100       -6885.4390  -6892.2275   -6908.1738      15.9462  1927.6
2.1200       -6885.4609  -6892.7061   -6907.1221      14.4162  1742.6
2.1300       -6885.4819  -6892.6689   -6907.0698      14.4011  1740.8
2.1400       -6885.5088  -6892.1094   -6906.7534      14.6442  1770.2
2.1500       -6885.5195  -6891.0654   -6907.0146      15.9494  1928.0
2.1600       -6885.5293  -6889.8335   -6907.1431      17.3097  2092.4
2.1700       -6885.4985  -6888.8398   -6907.0659      18.2262  2203.2
2.1800       -6885.4771  -6888.4902   -6906.7251      18.2350  2204.3
2.1900       -6885.4487  -6888.7705   -6905.9570      17.1868  2077.5
2.2000       -6885.4272  -6889.3574   -6906.4126      17.0554  2061.7
2.2100       -6885.4087  -6890.2305   -6907.3213      17.0908  2065.9
2.2200       -6885.4087  -6891.2437   -6906.4956      15.2519  1843.7
2.2300       -6885.4351  -6891.8926   -6906.1421      14.2496  1722.5
2.2400       -6885.4888  -6892.0220   -6906.6362      14.6143  1766.6
2.2500       -6885.5098  -6891.6284   -6905.9409      14.3127  1730.1
2.2600       -6885.5283  -6890.7090   -6905.9810      15.2718  1846.1
2.2700       -6885.5405  -6889.4165   -6907.0200      17.6037  2127.9
2.2800       -6885.4961  -6888.3916   -6907.9429      19.5513  2363.4
2.2900       -6885.4331  -6888.4741   -6908.0459      19.5719  2365.9
2.3000       -6885.3916  -6889.7622   -6908.2222      18.4597  2231.4
2.3100       -6885.3979  -6891.6050   -6907.6362      16.0314  1937.9
2.3200       -6885.3901  -6893.2104   -6908.4312      15.2209  1839.9
2.3300       -6885.4219  -6894.4863   -6909.1694      14.6832  1774.9
2.3400       -6885.4404  -6895.2349   -6909.1777      13.9431  1685.4
2.3500       -6885.4795  -6895.3403   -6908.5728      13.2322  1599.5
2.3600       -6885.5337  -6894.6836   -6907.4341      12.7504  1541.3
2.3700       -6885.5732  -6893.1309   -6907.3311      14.2000  1716.5
2.3800       -6885.5894  -6890.7188   -6907.6235      16.9048  2043.5
2.3900       -6885.5728  -6888.1714   -6905.8779      17.7067  2140.4
2.4000       -6885.5327  -6886.0303   -6905.0981      19.0677  2304.9
2.4100       -6885.4863  -6884.7734   -6904.6890      19.9154  2407.4
2.4200       -6885.4316  -6884.9321   -6905.8145      20.8822  2524.2
2.4300       -6885.3584  -6886.6875   -6904.9263      18.2386  2204.7
2.4400       -6885.3545  -6888.7837   -6904.3354      15.5517  1879.9
