Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6887.5254  -6887.7373   -6904.2173      16.4799  1992.1
0.0200       -6887.5244  -6887.9146   -6903.9053      15.9908  1933.0
0.0300       -6887.5195  -6888.0889   -6906.0327      17.9437  2169.0
0.0400       -6887.4834  -6888.8301   -6907.3906      18.5606  2243.6
0.0500       -6887.4443  -6890.1055   -6905.6479      15.5426  1878.8
0.0600       -6887.4907  -6891.1240   -6905.8560      14.7318  1780.8
0.0700       -6887.5283  -6891.6948   -6906.5195      14.8246  1792.0
0.0800       -6887.5366  -6891.8271   -6906.9468      15.1196  1827.7
0.0900       -6887.5684  -6891.6299   -6906.8081      15.1784  1834.8
0.1000       -6887.5791  -6891.1240   -6907.7363      16.6122  2008.1
0.1100       -6887.5444  -6890.6279   -6907.7559      17.1281  2070.5
0.1200       -6887.5688  -6890.4399   -6907.1572      16.7173  2020.8
0.1300       -6887.5405  -6890.3652   -6907.4370      17.0719  2063.7
0.1400       -6887.5161  -6890.5522   -6907.7490      17.1970  2078.8
0.1500       -6887.5093  -6891.0254   -6907.8730      16.8477  2036.6
0.1600       -6887.4863  -6891.7842   -6910.1475      18.3632  2219.7
0.1700       -6887.4634  -6893.2378   -6910.8428      17.6050  2128.1
0.1800       -6887.4624  -6894.8740   -6909.7729      14.8991  1801.0
0.1900       -6887.4868  -6895.9297   -6909.1382      13.2087  1596.7
0.2000       -6887.5352  -6896.1777   -6909.3501      13.1725  1592.3
0.2100       -6887.6099  -6895.6680   -6909.5947      13.9266  1683.5
0.2200       -6887.6260  -6894.4326   -6909.0000      14.5676  1760.9
0.2300       -6887.6489  -6892.6436   -6909.0493      16.4055  1983.1
0.2400       -6887.6333  -6890.6562   -6908.4380      17.7816  2149.5
0.2500       -6887.6274  -6889.0918   -6906.7949      17.7030  2139.9
0.2600       -6887.5757  -6887.9937   -6906.7471      18.7533  2266.9
